zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
https://www.civitatis.com/es/antioquia/,Medellín,Tour en chiva por Medellín,"18,15 €",180 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour en chiva por Medellín,"18,15 €",180 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico por Guatapé + Paseo en barco,"35,91 €",67 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour gastronómico por Guatapé + Paseo en barco,"35,91 €",67 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,"Free tour por El Poblado, Provenza y Manila",¡Gratis!,457 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,"Free tour por El Poblado, Provenza y Manila",¡Gratis!,457 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la Hacienda Nápoles,"54,70 €",185 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la Hacienda Nápoles,"54,70 €",185 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno en chiva rumbera + Degustación de comida callejera,"22,75 €",313 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour nocturno en chiva rumbera + Degustación de comida callejera,"22,75 €",313 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Pub Crawl ¡Tour de fiesta por Medellín!,"24,82 €",41 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Pub Crawl ¡Tour de fiesta por Medellín!,"24,82 €",41 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 3 Manrique,¡Gratis!,108 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por la Comuna 3 Manrique,¡Gratis!,108 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour en chiva por Medellín,¡Gratis!,165 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour en chiva por Medellín,¡Gratis!,165 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por el barrio de Miraflores,¡Gratis!,170 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour por el barrio de Miraflores,¡Gratis!,170 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour del conflicto armado de Colombia,¡Gratis!,12 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour del conflicto armado de Colombia,¡Gratis!,12 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour gastronómico por Medellín,¡Gratis!,230 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Free tour gastronómico por Medellín,¡Gratis!,230 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour navideño por Medellín,"20,45 €",59 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour navideño por Medellín,"20,45 €",59 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Jardín,"33,78 €",57 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Jardín,"33,78 €",57 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour panorámico por Medellín,"17,23 €",70 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour panorámico por Medellín,"17,23 €",70 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour por los miradores de Medellín,"40,76 €",66 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour por los miradores de Medellín,"40,76 €",66 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Santa Fe de Antioquia,"29,87 €",201 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a Santa Fe de Antioquia,"29,87 €",201 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la cascada Chorro de las Campanas,"36,77 €",30 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión a la cascada Chorro de las Campanas,"36,77 €",30 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Guatapé,Paseo en barco con comida o cena por el embalse de Guatapé,"39,07 €",26 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Guatapé,Paseo en barco con comida o cena por el embalse de Guatapé,"39,07 €",26 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour por las comunas 3 y 13,"56,30 €",18 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour por las comunas 3 y 13,"56,30 €",18 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Guatapé,Tour del café por Guatapé,"28,72 €",6 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Guatapé,Tour del café por Guatapé,"28,72 €",6 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Visita al mirador El Cielo,"25,41 €",3 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Visita al mirador El Cielo,"25,41 €",3 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Jardín,Tour del café por Jardín,"36,77 €",1 opinión,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Jardín,Tour del café por Jardín,"36,77 €",1 opinión,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Partido de fútbol en Medellín con guía local,"50,27 €",4 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Partido de fútbol en Medellín con guía local,"50,27 €",4 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour navideño en bicicleta eléctrica por Medellín,"41,37 €",3 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Tour navideño en bicicleta eléctrica por Medellín,"41,37 €",3 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión por el este de Antioquia,"32,40 €",2 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Excursión por el este de Antioquia,"32,40 €",2 opiniones,Civitatis,2025-12-30
https://www.civitatis.com/es/antioquia/,Medellín,Prácticas de tiro en Rionegro,"88,87 €",10 opiniones,Civitatis,2025-12-30
