moneda,zona_url,ciudad,actividad,precio,opiniones,fuente,fecha_scan
CLP,https://www.civitatis.com/es/region-andina/,Bucaramanga,Free tour por Piedecuesta,¡Gratis!,Novedad,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,Bucaramanga,Free tour por la Comuna 12,¡Gratis!,Novedad,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Visita guiada por Barichara,"15.671,22 CL$",6 opiniones,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Senderismo por el Camino Real hasta Guane,"20.894,96 CL$",4 opiniones,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,San Gil,Excursión a la Cueva del Indio,"20.894,96 CL$",3 opiniones,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,San Gil,Rafting en el río Fonce,"15.671,22 CL$",4 opiniones,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,Bucaramanga,Tour por Bucaramanga y Girón + Visita al Cerro del Santísimo,"41.267,54 CL$",2 opiniones,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,San Gil,Tour de aventura en Pinchote,"31.342,44 CL$",Sin valorar,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Tour por los escenarios de Encanto en Barichara,"95.333,25 CL$",Sin valorar,Civitatis,2025-12-30 19:24
CLP,https://www.civitatis.com/es/region-andina/,San Gil,Tour de aventura en San Gil,"33.954,31 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Excursión al Parque Ecológico Cascadas de Juan Curi,"58.767,07 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Honda,Tour privado por la Ruta el Saltarín con avistamiento de aves,"73.132,36 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Varios destinos,Excursión privada por Santander,"139.996,23 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Senderismo por el Camino Real hasta el cañón del Río Suárez,"44.924,16 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,San Gil,Vuelo en parapente por el Cañón del Chicamocha,"65.296,75 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Bucaramanga,Excursión al embalse Topocoro,"49.625,53 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Bucaramanga,Excursión a Zapatoca,"56.416,39 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Murillo,Ruta privada de senderismo por el Valle de los Frailejones,"182.830,90 CL$",Sin valorar,Civitatis,2025-12-30 19:25
CLP,https://www.civitatis.com/es/region-andina/,Murillo,Ruta privada de senderismo por El Bosque + Termales de Canaán,"231.803,47 CL$",Sin valorar,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-andina/,Honda,Tour privado de avistamiento de aves en Honda,"39.178,05 CL$",Sin valorar,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-andina/,Honda,Tour privado por Honda + Paseo en lancha por el río Magdalena,"117.534,15 CL$",Sin valorar,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Senderismo por el cañón del Chicamocha,"91.415,45 CL$",Sin valorar,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Taller de artesanía en Barichara,"27.424,63 CL$",Sin valorar,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-andina/,Barichara,Senderismo por el Camino Real hasta el cañón del Chicamocha + Teleférico Panachi,"172.383,42 CL$",Sin valorar,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-andina/,San Gil,Rafting en el río Chicamocha,"65.296,75 CL$",Sin valorar,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-andina/,Bucaramanga,Senderismo por el Páramo de Santurbán,"66.080,31 CL$",1 opinión,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Excursión a las islas del Rosario,"103.534,53 CL$",463 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Cartagena de Indias,Free tour por Cartagena de Indias,¡Gratis!,3.693 opiniones,Civitatis,2025-12-30 19:26
CLP,https://www.civitatis.com/es/region-caribe/,Santa Marta,Excursión al Parque Tayrona,"57.461,14 CL$",330 opiniones,Civitatis,2025-12-30 19:26
