"catalogue-entry-card__main-image src","catalogue-entry-card__tag","catalogue-entry-card__entry-name href","text-clamp","catalogue-entry-card__company-name-link","catalogue-entry-card__company-name-link href"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141332/CatalogueEntry_banner_hZjqYght.png","Destination management companies/services (DMC)","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141332/preview","Natal de Curitiba: O Melhor Natal do Brasil","Instituto Municipal de Turismo de Curitiba","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/880678"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141331/CatalogueEntry_banner_KLh8PsFh.png","Destination management companies/services (DMC)","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141331/preview","Conectividade: Rota Direta Curitiba-Lisboa","Instituto Municipal de Turismo de Curitiba","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/880678"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141329/CatalogueEntry_banner_tFDoDy0B.png","Destination management companies/services (DMC)","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141329/preview","Clínica de Vinhos em Mendoza","OPERADORES MENDOZA VIAJES","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/892590"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141327/CatalogueEntry_banner_OEGytazz.jpeg","Accommodation > Apartments","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141327/preview","Loi Suites Hoteles","LOI SUITES HOTELES","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/892541"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141320/CatalogueEntry_banner_6nsU1qCi.jpeg","Education establishment","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141320/preview","Anhembi Morumbi","Anima Educação","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/884342"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141319/CatalogueEntry_banner_xJv5iuQe.png","","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141319/preview","Passeios.","Pianeta Vacanze Receptivo RJ","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/887036"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141318/CatalogueEntry_banner_MVAqFdjc.png","Tour operator > Special interest tours","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141318/preview","Astroturismo en la región de Coquimbo, Chile","Ecoturismo La Serena","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/886783"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141315/CatalogueEntry_banner_c3nFiao1.png","Accommodation > Apartments","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141315/preview","Flats by Feel Sampa","Feel Sampa","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/868818"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141314/CatalogueEntry_banner_ynGUSA5f.png","Travel agency > Group travel","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141314/preview","Ituá Vivência Amazônica","SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO DE MATO GROSSO","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/886630"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141312/CatalogueEntry_banner_j0k4NjjH.jpeg","","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141312/preview","Itaipu Binacional","All Brazil Tours","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/874061"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141311/CatalogueEntry_banner_BO5z1M99.png","","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141311/preview","Bird Park","All Brazil Tours","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/874061"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141306/CatalogueEntry_banner_5xbg7T1c.jpeg","Transport companies/services > Airline","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141306/preview","Economic Class","ITA Airways","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/882393"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141305/CatalogueEntry_banner_L8h3UF5t.jpeg","Transport companies/services > Airline","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141305/preview","Premium","ITA Airways","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/882393"
"https://s3.eu-west-1.amazonaws.com/v4.eventnetworking.com/123/catalogue_entries/141304/CatalogueEntry_banner_fg91oszH.png","Transport companies/services > Airline","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/catalogue-entries/141304/preview","Business Class","ITA Airways","https://wtm-latam-2026.wtm.com/wtm-latin-america/catalogue-entry-directories/products#/companies/882393"
