Ciudad / Destino,País,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
Resto Brasil,Brasil,0.18528107369647828,0.13645642329513086,0.18096030321182038,0.15437873753474632,0.09007502455670051,0.07667401500933575,0.08730508804269341,0.10865744547681865,0.1491138478483765,0.15364817448735743,0.2361531806446964,0.1939148416534644,0.2495034826608527,0.2422941824573964,0.13806601938882826
San Pedro de Atacama,Chile,0.27799796470905275,0.3231901000062471,0.20450461783829987,0.2834835662664451,0.18599522781125138,0.33257113791283094,0.24048125681714655,0.30513903174332097,0.24004566515902048,0.16626158461299936,0.1376286359041451,0.08320209350705715,0.12888045804926868,0.30003725236751055,0.18928124204233132
Puerto Natales,Chile,0.08901063801663514,0.12541220639765216,0.25185149986194,0.21799351990695898,0.33667370155814114,0.026136616137230288,0.15272316470259367,0.133284210888568,0.14251905347625532,0.07850053353110152,0.13256419712373854,0.1311906680174247,0.16577846802394242,0.09850383026388396,0.047644649229701054
Santiago,Chile,0.3889288691118622,0.29928285897010115,0.35181521396694215,0.2771292159466049,0.346482160717948,0.5111235950487637,0.41257800953053725,0.395834693562141,0.4009590043978251,0.5865273102380754,0.6021414283635533,0.4792326123824589,0.4671298548161713,0.45044132454847285,0.43375589099742373
Rapa Nui,Chile,0.04976438444979933,0.007075868113821507,0.0,0.03418774411138411,0.03388982358090634,0.03562857478977605,0.06198809271256331,0.02163651696219787,0.06780171519133112,0.003456365202830012,0.03149492791212557,0.04424784663614603,0.031012566586982076,0.0,0.05023020214275777
Resto Chile,Chile,0.19429814371265075,0.2450389665121782,0.19182866833281803,0.18720595376860696,0.09695908633175324,0.09454007611139888,0.1322294762371592,0.14410554684377214,0.14867456177556804,0.16525420641499378,0.09617081069643739,0.2621267794569132,0.20719865252363553,0.1510175928201327,0.2790880155877861
Cartagena de Indias,Colombia,0.20338720390116072,0.24471431034391178,0.26694906070555907,0.23123207456018768,0.24133809104455703,0.2760495931455754,0.28114043894553986,0.28569232052560256,0.19546760838870203,0.21157765244586366,0.1804526553515815,0.27675972716036107,0.18766964370738975,0.22238804552052988,0.26210838300183864
Medellín,Colombia,0.456470985773038,0.3388485440757048,0.2677530619148135,0.2964145316576048,0.2619426174057032,0.21476025968635362,0.33003610498721514,0.2644197079862618,0.30918628700248435,0.28994955616269474,0.2995884030166306,0.21217390470715083,0.26140886205369757,0.2540036459992417,0.262793015726083
Bogotá,Colombia,0.14910242282662445,0.16463344574275957,0.1810396110924677,0.19250890529845227,0.2662907359603615,0.24816897360720666,0.18742509023203163,0.22636646765300145,0.20504459048566143,0.2771584336178988,0.3231135755714071,0.24466105798367954,0.2535286514895565,0.26561410369942545,0.18755137815685996
Resto Colombia,Colombia,0.19103938749917673,0.25180369983762385,0.28425826628715983,0.2798444884837552,0.23042855558937828,0.26102117356086424,0.20139836583521334,0.22352150383513425,0.29030151412315214,0.2213143577735428,0.1968453660603809,0.26640531014880847,0.2973928427493562,0.257994204780803,0.2875472231152185
Cancún / Riviera Maya,México,0.4719370253953264,0.3965087168077595,0.4968699317334226,0.5132113741373325,0.44899045658640685,0.5549554205670428,0.48529054739564553,0.4856784339939676,0.4707783188496696,0.4622430971513103,0.5512336020535438,0.5052735271730088,0.523425144926928,0.5076021538238806,0.5562671382892079
Ciudad de México,México,0.30431527600952113,0.3550145548716634,0.29031480756133865,0.33398511418897425,0.33953532324566205,0.3201152763410108,0.38695803276596663,0.3534846736193271,0.3716469560658057,0.42509882878880095,0.3269823397551257,0.3669717850470652,0.350533535598258,0.3673561636451605,0.3245962550330851
Resto México,México,0.22374769859515248,0.24847672832057716,0.2128152607052386,0.15280351167369313,0.2114742201679312,0.12492930309194636,0.12775141983838784,0.16083689238670543,0.1575747250845247,0.11265807405988883,0.12178405819133051,0.12775468777992605,0.12604131947481403,0.1250416825309589,0.11913660667770704
Cusco,Perú,0.4629044024637435,0.43630984973053255,0.46514300529437075,0.4823135319295023,0.4204123965155094,0.4999393889890272,0.44377977751295006,0.4569149120001417,0.35203465085960056,0.49607234317684873,0.5060158111083191,0.4835284329978622,0.47081824101830805,0.5130535918943782,0.49600063462294164
Lima,Perú,0.4031416036902727,0.313872885978218,0.355958727745454,0.3147981521316081,0.35264009964594323,0.24584820742065056,0.2728789533618718,0.28177811160996774,0.36076241866991626,0.2530753759159148,0.33310156550406506,0.448719512810129,0.34580225797390696,0.3492418807148962,0.35025500561396383
Resto Peru,Perú,0.13395399384598383,0.24981726429124948,0.17889826696017525,0.2028883159388895,0.22694750383854745,0.25421240359032227,0.28334126912517826,0.26130697638989053,0.2872029304704832,0.25085228090723655,0.16088262338761597,0.06775205419200885,0.183379501007785,0.13770452739072564,0.15374435976309445
