destino,actividad1,precio1,actividad2,precio2,similitud_%
La Tatacoa,Excursión Terrestre al Desierto de la Tatacoa desde Cali,$640.000,Excursión al Desierto de la Tatacoa,363.000 COP,83.52
Cartagena,Excursión en bus a Playa Blanca desde Cartagena,$120.000,Excursión a Playa Blanca,291.900 COP,83.18
Riohacha,"Excursión “La Guajira, Toda Una Aventura”. 5 noches y 6 días",$2.281.500,Tour de 7 días por lo mejor de La Guajira,3.133.000 COP,82.97
Fusagasugá,Tour cafetero en la Hacienda Coloma en Fusagasugá desde Bogotá.,$150.000,Excursión a los cafetales colombianos,565.000 COP,82.68
Pereira,Excursión de un día a la Laguna del Otún desde Pereira,$310.000,Excursión a la Laguna Encantada,220.000 COP,82.59
Laguna de Guatavita,Excursión Grupal de 1 día a la Laguna de Guatavita desde Bogotá.,$93.000,Excursión a Guatapé,"142.216,29 COP",82.53
Bogotá,Excursión Grupal de 1 día a la Laguna de Guatavita desde Bogotá.,$93.000,Excursión a Guatapé,"142.216,29 COP",82.53
Medellín,"City Tour por Medellín, ciudad de la Eterna Primavera",$375.000,Tour panorámico por Medellín,75.000 COP,82.5
Santa Marta,Tour Entrada Centro de Vida Marina (Oceanario) y Transporte a Playa Blanca Santa Marta,$100.000,Excursión privada por las playas de Santa Marta en lancha pontón,2.400.000 COP,82.44
Riohacha,Excursión “Explora La Guajira”. 5 días y 4 noches,$1.661.400,Tour de 7 días por lo mejor de La Guajira,3.133.000 COP,82.4
Zipaquirá,Entrada Oficial Catedral De Sal de Zipaquirá – Pasaporte Básico,$49.500,Entrada a la Catedral de Sal de Zipaquirá,70.000 COP,82.39
Zipaquirá,Excursión a la Catedral de Sal de Zipaquirá y a Monserrate en la ciudad de Bogotá.,$480.000,Excursión a la Catedral de Sal de Zipaquirá,179.000 COP,82.32
Mesetas,"Rafting por el Cañón del Río Güejar, y Circuito de Telares de Cristal. 2 días.",$550.000,Rafting en el cañón del río Güejar,780.000 COP,82.3
Santander,"Tour de 2 días al Cañón de la Hondura y Cascadas, Santander",$215.000,Tour por la Ciénaga Grande de Santa Marta,297.917 COP,82.19
Gambita,"Tour de 2 días al Cañón de la Hondura y Cascadas, Santander",$215.000,Tour por la Ciénaga Grande de Santa Marta,297.917 COP,82.19
Bahía Solano,"Tour completo de Avistamiento de Ballenas en Bahía Solano, Colombia",$295.000,Tour en chiva rumbera por Bogotá,140.000 COP,82.15
Calarcá,Ruta Experiencial de Café Hacienda Combia,$207.000,Tour del café por la finca Casa Vieja,112.500 COP,81.99
Cartagena,Tour por Getsemaní: Recorrido Guiado de 2 Horas en Cartagena,$130.000,Tour en patinete por Cartagena,120.500 COP,81.99
Pereira,Excursión de un día al Nevado del Ruiz desde Pereira,$390.000,Tour navideño por Pereira,320.000 COP,81.97
Leticia,Pasadía Parque Mundo Amazónico: Avistamiento de Aves,$100.000,Tour de las tres fronteras del Amazonas,280.000 COP,81.82
Amazonas,Pasadía Parque Mundo Amazónico: Avistamiento de Aves,$100.000,Tour de las tres fronteras del Amazonas,280.000 COP,81.82
Guatapé,Visita la Peñol y Guatapé desde Manizales,$200.000,Visita guiada por Guatapé,15.000 COP,81.81
Villa de Leyva,Boyacá + Catedral de Sal de Zipaquirá desde Manizales,$760.000,Entrada a la Catedral de Sal de Zipaquirá,70.000 COP,81.8
Mesetas,"Rafting por el Cañón del Río Güejar + Tubbing Rio Cafre + 1 Noche de Hospedaje desde Mesetas, Meta",$520.000,Rafting en el río Calderas,627.143 COP,81.45
Manizales,"Excursión al Parque del Café, Panaca, Salento y Termales de Santa Rosa. 5 días 4 noches",$2.038.950,Excursión al Parque del Café,400.000 COP,81.19
Salento,"Excursión al Parque del Café, Panaca, Salento y Termales de Santa Rosa. 5 días 4 noches",$2.038.950,Excursión al Parque del Café,400.000 COP,81.19
Pereira,"Excursión al Parque del Café, Panaca, Salento y Termales de Santa Rosa. 5 días 4 noches",$2.038.950,Excursión al Parque del Café,400.000 COP,81.19
Bahía Solano,Tour corto de Avistamiento de Ballenas en Bahía Solano Colombia,$205.000,Tour por el Jardín Botánico de Bogotá,180.000 COP,81.05
Puerto Triunfo,Tour de 1 día a Santorini + actividad de Rafting saliendo desde Medellín,$196.000,Tour por Villavieja + Paseo en barco,115.000 COP,80.99
Villa de Leyva,"Lunada, Fogata y Citytour en Villa de Leyva",$60.000,Excursión a Villa de Leyva,440.000 COP,80.77
Valle de Cocora,Trekking de 3 días al Paramillo del Quindío desde Salento,$760.000,Trekking de 4 o 5 días por la Ciudad Perdida,1.860.000 COP,80.69
Salento,Trekking de 3 días al Paramillo del Quindío desde Salento,$760.000,Trekking de 4 o 5 días por la Ciudad Perdida,1.860.000 COP,80.69
Cartagena,"Tour Islas del Rosario: Isla Grande, Cholón, Agua Azul, Playa Tranquila y Plancton Luminoso",$333.000,Excursión a Cartagena e Islas del Rosario,669.060 COP,80.57
Pereira,Excursión privada de un día al Nevado del Ruiz desde Pereira,$850.000,"Excursión privada a Córdoba, Pijao y Buenavista",2.360.000 COP,80.52
Jardín,Excursión de 1 día a Jardín desde Medellín,$152.000,Excursión al Jardín Botánico del Quindío,518.335 COP,80.47
Medellín,Excursión de 1 día a Jardín desde Medellín,$152.000,Excursión al Jardín Botánico del Quindío,518.335 COP,80.47
Manizales,Excursión privada de un día al Nevado del Ruiz desde Manizales,$750.000,Excursión privada desde San José del Guaviare,1.217.000 COP,80.38
Jardín,"Senderismo veredas La Herrera y Serranías en Jardín, Antioquia",$100.000,Excursión a las veredas La Herrera y Serranías,100.000 COP,80.19
Laguna de Guatavita,Excursión privada de 1 día a la Laguna de Guatavita y Mina de Sal de Nemocón desde Bogotá.,$430.000,Excursión privada desde Bogotá,1.612.000 COP,80.16
Nemocón,Excursión privada de 1 día a la Laguna de Guatavita y Mina de Sal de Nemocón desde Bogotá.,$430.000,Excursión privada desde Bogotá,1.612.000 COP,80.16
Laguna de Guatavita,Excursión Privada de 1 día a la Laguna de Guatavita desde Bogotá.,$132.000,Excursión a Guatapé,"142.216,29 COP",79.99
Manizales,Excursión de un día al Nevado del Ruiz desde Manizales,$350.000,Excursión al volcán Nevado del Ruiz,487.880 COP,79.99
