moneda,pais,destino,actividad,precio_desde_original,precio_real,opiniones,viajeros,url_fuente,fuente,fecha_scan
CLP,Chile,Santiago de Chile,Paseo a caballo por el Parque Yerba Loca,,221.000 CL$,1 opinión,26 viajeros,https://www.civitatis.com/es/santiago-de-chile/paseo-caballo-yerba-loca/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Trekking por La Parva,,220.000 CL$,1 opinión,15 viajeros,https://www.civitatis.com/es/santiago-de-chile/trekking-la-parva/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Visita a la Viña Tres Palacios,,"32.249,57 CL$",Sin valorar,34 viajeros,https://www.civitatis.com/es/santiago-de-chile/visita-vina-tres-palacios/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión en helicóptero a Valle Nevado,,"487.429,28 CL$",2 opiniones,14 viajeros,https://www.civitatis.com/es/santiago-de-chile/excursion-helicoptero-valle-nevado/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Ruta de trekking de 2 días por La Parva,,420.000 CL$,Sin valorar,2 viajeros,https://www.civitatis.com/es/santiago-de-chile/trekking-2-dias-la-parva/,Civitatis,2026-02-02 16:04
CLP,Chile,Santiago de Chile,Excursión a El Colorado + Curso de esquí o de snowboard,,219.000 CL$,Novedad,,https://www.civitatis.com/es/santiago-de-chile/excursion-colorado-curso-esqui/,Civitatis,2026-02-02 16:04
CLP,Chile,Valparaíso,Tour de Valparaíso al completo,,60.000 CL$,32 opiniones,200 viajeros,https://www.civitatis.com/es/valparaiso/tour-valparaiso-completo/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Clase de cocina chilena con comida,,64.000 CL$,9 opiniones,54 viajeros,https://www.civitatis.com/es/valparaiso/clase-cocina-chilena/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Free tour por Barrio Puerto y el Cerro Concepción,,¡Gratis!,176 opiniones,3.222 viajeros,https://www.civitatis.com/es/valparaiso/free-tour-barrio-puerto-cerro-cordillera/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Free tour de los miradores y paseos de Valparaíso,,¡Gratis!,351 opiniones,7.485 viajeros,https://www.civitatis.com/es/valparaiso/free-tour-ascensores-paseos-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Free tour por el Cerro Playa Ancha,,¡Gratis!,18 opiniones,225 viajeros,https://www.civitatis.com/es/valparaiso/tour-cerro-playa-ancha/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Visita guiada por Valparaíso + Paseo en barco,,"55.284,98 CL$",Sin valorar,2 viajeros,https://www.civitatis.com/es/valparaiso/visita-guiada-valparaiso-paseo-barco/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour de los ascensores de Valparaíso,,30.000 CL$,26 opiniones,181 viajeros,https://www.civitatis.com/es/valparaiso/tour-ascensores-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Visita guiada por Valparaíso,,30.000 CL$,21 opiniones,147 viajeros,https://www.civitatis.com/es/valparaiso/visita-guiada-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,"La Sebastiana, Biblioteca Santiago Severín, Catedral y Museo de Historia Natural",,15.000 CL$,Novedad,3 viajeros,https://www.civitatis.com/es/valparaiso/sebastiana-biblioteca-catedral-museo-historia-natural/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour por Valparaíso y Viña del Mar,,140.000 CL$,18 opiniones,174 viajeros,https://www.civitatis.com/es/valparaiso/excursion-vina-del-mar/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tarjeta eSIM Civitatis Chile,,"4.607,08 CL$",41 opiniones,821 viajeros,https://www.civitatis.com/es/tarjeta-esim-chile/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,"Excursión a Isla Negra, Algarrobo y Quintay",,160.000 CL$,4 opiniones,72 viajeros,https://www.civitatis.com/es/valparaiso/excursion-isla-negra-pueblos-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour del arte urbano por Valparaíso,,26.000 CL$,7 opiniones,69 viajeros,https://www.civitatis.com/es/valparaiso/tour-arte-urbano-valparaiso/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Avistamiento de pingüinos en la isla Cachagua,,135.000 CL$,2 opiniones,70 viajeros,https://www.civitatis.com/es/valparaiso/avistamiento-pinguinos-isla-cachagua/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Tour de Pablo Neruda,,"55.284,98 CL$",3 opiniones,28 viajeros,https://www.civitatis.com/es/valparaiso/tour-pablo-neruda/,Civitatis,2026-02-02 16:05
CLP,Chile,Valparaíso,Contrastes de Valparaíso,,64.000 CL$,2 opiniones,13 viajeros,https://www.civitatis.com/es/valparaiso/contrastes-valparaiso/,Civitatis,2026-02-02 16:05
